Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189383,0.0,249.0,-0.048502803,0.0
20000,1.4189383,0.0,249.0,-0.05244727,0.0
30000,1.4189384,0.0,249.0,-0.048262507,0.0
40000,1.4189383,0.0,249.0,-0.023326304,0.0
50000,1.4189384,0.09090909090909091,226.36363636363637,-0.037419748,0.09090909090909091
60000,1.4189383,0.0,249.0,-0.057665475,0.0
70000,1.4189383,0.0,249.0,-0.044482503,0.0
80000,1.4189383,0.0,249.0,-0.015453773,0.0
90000,1.4189383,0.13043478260869565,216.52173913043478,-0.0623203,0.13043478260869565
100000,1.4189383,0.0,249.0,-0.052043628,0.0
110000,1.4189383,0.024390243902439025,243.9512195121951,-0.043716133,0.024390243902439025
120000,1.4189383,0.0,249.0,-0.042215563,0.0
130000,1.4189383,0.0,249.0,-0.015538365,0.0
140000,1.4189383,0.0,249.0,-0.06174112,0.0
150000,1.4189383,0.0,249.0,-0.024231566,0.0
160000,1.4189383,0.0,249.0,-0.029169103,0.0
170000,1.4189383,0.0,249.0,0.017037848,0.0
180000,1.4189383,0.024390243902439025,243.4390243902439,0.009592215,0.024390243902439025
190000,1.4189383,0.0,249.0,-0.02224387,0.0
200000,1.4189383,0.0,249.0,-0.06307526,0.0
210000,1.4179919,0.09523809523809523,236.07142857142858,-0.04621284,0.07142857142857142
220000,1.4171011,0.0,249.0,-0.015482942,0.025
230000,1.4171013,0.0,249.0,-0.016719798,0.0
240000,1.4171011,0.0,249.0,-0.076755024,0.0
250000,1.4171011,0.0,249.0,-0.018816378,0.0
260000,1.4171011,0.0,249.0,-0.027214801,0.0
270000,1.4171011,0.0,249.0,-0.060608476,0.0
280000,1.4171011,0.0,249.0,-0.009759458,0.0
290000,1.4171011,0.0,249.0,-0.025178041,0.0
300000,1.4171011,0.0,249.0,-0.05588292,0.0
310000,1.4171011,0.0,249.0,-0.054358125,0.0
320000,1.4171011,0.0,249.0,0.0070763454,0.0
330000,1.4171011,0.047619047619047616,240.38095238095238,-0.040041342,0.047619047619047616
340000,1.4171011,0.025,246.725,-0.0328496,0.025
350000,1.4171011,0.0,249.0,-0.019210417,0.0
360000,1.4171011,0.04878048780487805,243.0731707317073,-0.013347156,0.04878048780487805
370000,1.4171011,0.0,249.0,-0.029501313,0.0
380000,1.4171011,0.0,249.0,-0.00888429,0.0
390000,1.4171011,0.024390243902439025,243.34146341463415,-0.0572763,0.024390243902439025
400000,1.4171011,0.0,249.0,-0.048886128,0.0
410000,1.4170549,0.0,249.0,-0.045942545,0.0
420000,1.4165325,0.0,249.0,-0.03520937,0.0
430000,1.4165324,0.0,249.0,-0.045795627,0.0
440000,1.4165324,0.0,249.0,-0.043834798,0.0
450000,1.4165324,0.0,249.0,-0.029873217,0.0
460000,1.4165324,0.025,247.65,-0.034056854,0.025
470000,1.4165324,0.04878048780487805,246.1951219512195,-0.034865253,0.04878048780487805
480000,1.4165324,0.0,249.0,-0.04296025,0.0
490000,1.4165324,0.0,249.0,-0.030426752,0.0
500000,1.4165324,0.0,249.0,-0.046847887,0.0
510000,1.4165324,0.0,249.0,-0.028469464,0.0
520000,1.4165324,0.0,249.0,-0.0022770003,0.0
530000,1.4165324,0.0,249.0,-0.008350248,0.0
540000,1.4165324,0.0,249.0,-1.5936791e-06,0.0
550000,1.4165324,0.025,248.225,-0.004664446,0.025
560000,1.4165324,0.0,249.0,-0.0058890497,0.0
570000,1.4165324,0.0,249.0,-0.031439364,0.0
580000,1.4165324,0.0,249.0,-0.013905495,0.0
590000,1.4165324,0.0,249.0,-0.02250074,0.0
600000,1.4165324,0.0,249.0,-0.06036737,0.0
610000,1.4165324,0.0,249.0,-0.031200115,0.0
