Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
47350000,1.4778111,0.0,62.64,0.97220117,0.9583333333333334
47360000,1.4778196,0.0,67.90277777777777,0.97183335,0.9448275862068966
47370000,1.4778435,0.0,65.05263157894737,0.9672209,0.9337748344370861
47380000,1.4778498,0.0,68.85915492957747,0.9642094,0.958041958041958
47390000,1.4778528,0.0,73.4927536231884,0.95991695,0.9259259259259259
47400000,1.4992354,0.0,74.8923076923077,0.93782175,0.7121212121212122
47410000,1.5367368,0.0,114.31111111111112,0.82723093,-0.0449438202247191
47420000,1.5367442,0.0,120.1,0.7204254,-0.2222222222222222
47430000,1.5367352,0.0,122.14634146341463,0.68225324,0.12195121951219512
47440000,1.5367247,0.0,112.88372093023256,0.6365749,0.11494252873563218
47450000,1.5367293,0.0,134.32432432432432,0.5950359,-0.05405405405405406
47460000,1.5367298,0.0,142.28571428571428,0.5316223,0.028985507246376812
47470000,1.5367403,0.0,116.33333333333333,0.51908785,0.15294117647058825
47480000,1.5367495,0.0,117.53488372093024,0.44127023,0.058823529411764705
47490000,1.5367502,0.0,131.8918918918919,0.34274423,-0.22666666666666666
47500000,1.5367668,0.0,129.10256410256412,0.37505525,0.012987012987012988
